worksin,livesin,count
Barnstable,Barnstable,3
Barnstable,Berkshire,0
Barnstable,Bristol,0
Barnstable,Essex,0
Barnstable,Hampden,0
Barnstable,Hampshire,0
Barnstable,Middlesex,1
Barnstable,Norfolk,0
Barnstable,Plymouth,1
Barnstable,Suffolk,0
Barnstable,Worcester,0
Berkshire,Barnstable,0
Berkshire,Berkshire,2
Berkshire,Bristol,0
Berkshire,Essex,0
Berkshire,Hampden,0
Berkshire,Hampshire,0
Berkshire,Middlesex,0
Berkshire,Norfolk,0
Berkshire,Plymouth,0
Berkshire,Suffolk,0
Berkshire,Worcester,0
Bristol,Barnstable,0
Bristol,Berkshire,0
Bristol,Bristol,10
Bristol,Essex,0
Bristol,Hampden,0
Bristol,Hampshire,0
Bristol,Middlesex,0
Bristol,Norfolk,1
Bristol,Plymouth,0
Bristol,Suffolk,0
Bristol,Worcester,0
Essex,Barnstable,0
Essex,Berkshire,0
Essex,Bristol,0
Essex,Essex,8
Essex,Hampden,0
Essex,Hampshire,0
Essex,Middlesex,1
Essex,Norfolk,0
Essex,Plymouth,0
Essex,Suffolk,0
Essex,Worcester,0
Franklin,Barnstable,0
Franklin,Berkshire,0
Franklin,Bristol,0
Franklin,Essex,0
Franklin,Hampden,0
Franklin,Hampshire,1
Franklin,Middlesex,0
Franklin,Norfolk,0
Franklin,Plymouth,0
Franklin,Suffolk,0
Franklin,Worcester,0
Hampden,Barnstable,0
Hampden,Berkshire,0
Hampden,Bristol,0
Hampden,Essex,0
Hampden,Hampden,17
Hampden,Hampshire,2
Hampden,Middlesex,0
Hampden,Norfolk,0
Hampden,Plymouth,0
Hampden,Suffolk,0
Hampden,Worcester,1
Hampshire,Barnstable,0
Hampshire,Berkshire,0
Hampshire,Bristol,0
Hampshire,Essex,0
Hampshire,Hampden,2
Hampshire,Hampshire,1
Hampshire,Middlesex,0
Hampshire,Norfolk,0
Hampshire,Plymouth,0
Hampshire,Suffolk,0
Hampshire,Worcester,1
Middlesex,Barnstable,2
Middlesex,Berkshire,0
Middlesex,Bristol,3
Middlesex,Essex,14
Middlesex,Hampden,0
Middlesex,Hampshire,0
Middlesex,Middlesex,66
Middlesex,Norfolk,14
Middlesex,Plymouth,2
Middlesex,Suffolk,5
Middlesex,Worcester,8
Norfolk,Barnstable,4
Norfolk,Berkshire,0
Norfolk,Bristol,18
Norfolk,Essex,21
Norfolk,Hampden,0
Norfolk,Hampshire,0
Norfolk,Middlesex,58
Norfolk,Norfolk,64
Norfolk,Plymouth,21
Norfolk,Suffolk,21
Norfolk,Worcester,14
Plymouth,Barnstable,0
Plymouth,Berkshire,0
Plymouth,Bristol,1
Plymouth,Essex,0
Plymouth,Hampden,0
Plymouth,Hampshire,0
Plymouth,Middlesex,0
Plymouth,Norfolk,1
Plymouth,Plymouth,6
Plymouth,Suffolk,1
Plymouth,Worcester,0
Suffolk,Barnstable,4
Suffolk,Berkshire,1
Suffolk,Bristol,44
Suffolk,Essex,190
Suffolk,Hampden,1
Suffolk,Hampshire,1
Suffolk,Middlesex,419
Suffolk,Norfolk,220
Suffolk,Plymouth,104
Suffolk,Suffolk,203
Suffolk,Worcester,50
Worcester,Barnstable,0
Worcester,Berkshire,0
Worcester,Bristol,1
Worcester,Essex,0
Worcester,Hampden,4
Worcester,Hampshire,1
Worcester,Middlesex,3
Worcester,Norfolk,2
Worcester,Plymouth,0
Worcester,Suffolk,0
Worcester,Worcester,15
